iter	Passed	Remaining
0	7	3712
1	10	2709
2	13	2165
3	17	2173
4	18	1838
5	20	1678
6	21	1535
7	23	1424
8	24	1338
9	25	1249
10	27	1208
11	28	1149
12	31	1196
13	35	1230
14	36	1190
15	38	1150
16	39	1118
17	41	1102
18	42	1076
19	43	1046
20	47	1086
21	48	1064
22	50	1046
23	51	1020
24	52	1000
25	53	979
26	54	957
27	55	937
28	56	920
29	57	901
30	58	891
31	61	905
32	63	895
33	64	883
34	65	869
35	66	858
36	67	847
37	68	835
38	69	824
39	70	812
40	71	801
41	72	794
42	76	813
43	77	803
44	78	793
45	79	783
46	80	775
47	81	767
48	82	758
49	83	749
50	84	741
51	85	733
52	86	726
53	87	720
54	88	717
55	90	718
56	91	713
57	92	708
58	94	703
59	95	698
60	96	692
61	97	686
62	98	680
63	99	674
64	100	670
65	101	665
66	102	661
67	104	662
68	105	659
69	106	656
70	108	652
71	109	649
72	110	644
73	111	640
74	112	635
75	113	632
76	114	628
77	115	624
78	116	619
79	117	615
80	119	618
81	120	615
82	121	611
83	122	607
84	123	603
85	124	599
86	125	595
87	126	591
88	127	588
89	128	584
90	129	581
91	130	578
92	131	574
93	132	571
94	134	574
95	135	571
96	136	567
97	137	564
98	138	561
99	139	556
100	139	553
101	140	549
102	141	547
103	142	544
104	143	541
105	144	538
106	145	535
107	146	532
108	149	535
109	150	532
110	151	530
111	152	527
112	153	524
113	154	521
114	155	519
115	156	516
116	157	514
117	157	510
118	158	508
119	160	506
120	161	504
121	162	504
122	164	503
123	165	500
124	166	498
125	167	496
126	168	494
127	169	492
128	170	490
129	171	487
130	172	485
131	173	483
132	174	482
133	179	489
134	180	487
135	181	485
136	182	483
137	183	481
138	184	479
139	185	477
140	186	475
141	187	473
142	189	471
143	190	470
144	192	470
145	193	468
146	194	466
147	195	464
148	196	461
149	197	460
150	198	458
151	199	456
152	200	454
153	201	452
154	202	450
155	203	448
156	204	446
157	206	446
158	207	445
159	208	443
160	209	441
161	210	439
162	211	437
163	212	436
164	213	434
165	214	432
166	215	430
167	216	428
168	217	426
169	218	425
170	219	423
171	221	422
172	222	420
173	223	419
174	224	417
175	225	415
176	226	414
177	227	412
178	228	410
179	229	408
180	230	406
181	231	405
182	233	403
183	234	401
184	235	400
185	236	399
186	237	397
187	238	396
188	239	394
189	240	392
190	241	391
191	242	389
192	243	388
193	244	386
194	245	384
195	247	384
196	249	383
197	250	382
198	252	381
199	253	380
200	254	378
201	255	377
202	256	375
203	257	373
204	258	372
205	259	370
206	260	369
207	261	367
208	263	366
209	264	365
210	266	365
211	268	364
212	269	362
213	270	361
214	271	359
215	272	358
216	274	357
217	275	356
218	276	354
219	277	353
220	278	351
221	279	349
222	281	349
223	283	348
224	284	347
225	285	346
226	286	344
227	288	343
228	289	342
229	290	340
230	292	340
231	300	347
232	302	346
233	303	344
234	304	343
235	305	341
236	306	339
237	307	338
238	308	336
239	309	335
240	315	338
241	317	338
242	318	336
243	319	335
244	320	333
245	321	331
246	322	330
247	323	328
248	324	327
249	327	327
250	329	326
251	331	325
252	332	324
253	333	322
254	334	321
255	335	319
256	336	318
257	337	316
258	338	315
259	339	313
260	342	313
261	344	313
262	345	311
263	346	309
264	347	308
265	348	306
266	349	305
267	350	303
268	351	302
269	352	300
270	353	298
271	354	297
272	358	298
273	360	297
274	361	295
275	361	293
276	363	292
277	364	290
278	365	289
279	366	287
280	367	286
281	368	284
282	369	283
283	370	281
284	375	283
285	376	281
286	377	280
287	378	278
288	379	277
289	381	275
290	382	274
291	383	273
292	384	271
293	387	271
294	389	270
295	391	269
296	392	268
297	393	266
298	394	265
299	396	264
300	397	262
301	399	261
302	403	262
303	405	261
304	406	260
305	407	258
306	408	257
307	409	255
308	410	253
309	411	252
310	412	250
311	414	249
312	415	247
313	418	247
314	419	246
315	421	245
316	422	243
317	423	242
318	424	240
319	425	239
320	426	238
321	428	236
322	429	235
323	430	233
324	434	234
325	435	232
326	436	231
327	437	229
328	438	227
329	439	226
330	440	225
331	442	224
332	444	222
333	447	222
334	449	221
335	450	219
336	451	218
337	452	216
338	453	215
339	454	213
340	455	212
341	456	210
342	457	209
343	458	207
344	459	206
345	464	206
346	465	205
347	467	204
348	468	202
349	472	202
350	474	201
351	478	201
352	480	199
353	481	198
354	483	197
355	484	195
356	485	194
357	486	192
358	487	191
359	488	189
360	489	188
361	491	187
362	493	186
363	494	184
364	495	183
365	496	181
366	497	180
367	498	178
368	499	177
369	500	175
370	501	174
371	503	173
372	504	171
373	505	170
374	506	168
375	507	167
376	508	165
377	509	164
378	510	163
379	511	161
380	512	160
381	513	158
382	515	157
383	516	155
384	517	154
385	518	153
386	520	151
387	521	150
388	523	149
389	524	147
390	525	146
391	526	144
392	527	143
393	528	142
394	528	140
395	529	139
396	530	137
397	531	136
398	532	134
399	533	133
400	535	132
401	536	130
402	537	129
403	538	127
404	539	126
405	540	125
406	542	123
407	543	122
408	544	121
409	545	119
410	546	118
411	547	116
412	548	115
413	550	114
414	551	112
415	552	111
416	553	110
417	554	108
418	555	107
419	556	106
420	558	104
421	559	103
422	560	101
423	561	100
424	561	99
425	562	97
426	563	96
427	565	95
428	566	93
429	567	92
430	568	90
431	569	89
432	569	88
433	570	86
434	571	85
435	572	84
436	573	82
437	574	81
438	575	79
439	576	78
440	577	77
441	578	75
442	579	74
443	580	73
444	581	71
445	582	70
446	584	69
447	585	67
448	586	66
449	587	65
450	588	63
451	589	62
452	590	61
453	591	59
454	592	58
455	593	57
456	594	55
457	595	54
458	596	53
459	597	51
460	598	50
461	599	49
462	600	47
463	601	46
464	602	45
465	603	44
466	604	42
467	605	41
468	606	40
469	607	38
470	608	37
471	609	36
472	610	34
473	611	33
474	613	32
475	613	30
476	614	29
477	615	28
478	616	27
479	617	25
480	618	24
481	619	23
482	620	21
483	621	20
484	622	19
485	624	17
486	625	16
487	626	15
488	627	14
489	628	12
490	629	11
491	630	10
492	631	8
493	632	7
494	633	6
495	634	5
496	635	3
497	636	2
498	637	1
499	638	0
